ID,pH,Salinity,DOC,DO,Temperature,NO3,PO4,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin
A90,1.006388891,-0.076535577,-0.374132292,0.973766018,-1.544387941,-0.179160744,-0.854372933,-0.299912258,-1.23547948,2.07680915,2.476028487,-2.385392152,0.729545432,0.863193789
A91,0.850379431,-0.108861492,0.642929899,0.928240264,-1.544387941,-0.05718747,-0.071266322,-0.181098058,-0.221411325,0.217829133,-0.436736061,-0.018665336,0.121342718,-0.124937702
A92,0.928384161,-0.157350363,0.450704701,0.990025216,-1.482692527,-0.025286767,0.069291274,0.94498384,-1.118249916,-0.198331271,-0.936934463,0.805667362,1.562536575,4.388071106
A93,0.928384161,-0.157350363,0.577892967,1.03229913,-1.513540234,0.042267662,-0.121465464,-0.154302545,-0.36984646,0.208273467,-0.56199743,-0.344767065,-0.126251592,0.16189484
A94,0.928384161,-0.157350363,0.401205603,0.986773376,-1.44156225,0.014119983,-0.051186666,0.099557763,-0.946681805,0.246934099,-0.838510331,0.215492051,1.025553384,2.402268745
A95,0.850379431,-0.157350363,0.5188492,0.980269697,-1.492975096,-0.062817005,0.310247154,0.506429029,-1.244897195,-0.033982222,-0.921409858,0.410830388,1.159897706,3.425523521
A96,0.382351053,-0.512935423,-0.923039559,-0.707435028,0.697212128,-0.132247946,1.033114795,-0.808781357,0.168692757,-0.291161215,0.188995373,0.065259416,-0.093811991,-0.340727492
A97,-0.007672596,-0.59375021,-0.993203976,-0.730197905,0.717777266,-0.259850757,2.328252651,-0.515612105,-0.304177348,-0.454722053,2.172097797,-0.754265518,-0.191638418,-0.449124849
A98,-0.007672596,-0.626076124,-0.974713954,-0.772471819,0.717777266,-0.152889577,3.683629477,-0.591765189,0.318629017,-0.920816483,1.061395561,0.757342254,-0.088965398,-0.392915011
A99,-0.007672596,-0.529098381,-0.745886059,-0.814745733,0.728059835,-0.256097733,1.043154623,-1.005828748,-0.329445707,-0.18557958,-0.547159988,-0.136880393,-0.153704101,-0.253392787
A100,0.382351053,-0.609913167,-0.968276851,-0.759464461,0.748624974,-0.212937959,1.535106212,-1.035203982,0.076486802,-0.182186239,-0.047586311,-0.522835248,-0.391353768,0.201820348
A101,0.382351053,-0.529098381,-0.937511941,-0.196896219,0.769190112,-0.284245412,1.816221406,0.619085932,0.248989225,-1.79180002,2.886966923,1.469119744,0.038608144,-1.073881458
A102,0.382351053,-0.480609509,-1.087807185,-0.154622305,0.748624974,-0.284245412,2.468810248,0.475099697,0.617984874,-1.321236579,1.532509173,1.072211136,-0.100950317,-0.621777468
A103,0.772374701,-0.41595768,-1.034800976,-0.066822637,0.779472681,-0.283307156,1.525066384,0.402728943,0.534366879,-1.404692296,1.815856052,1.273996044,-0.002871522,-0.732689413
A104,0.772374701,-0.41595768,-1.014224445,-0.096089193,0.748624974,-0.283307156,2.468810248,-0.187222432,0.136960196,-0.532536646,-0.034083634,0.207684469,-0.159300851,-0.379217654
A105,-0.007672596,-0.723053868,-0.829657179,-0.151370465,1.02625434,-0.199802375,1.253991019,0.003484181,0.549156458,-1.028156264,1.290931313,0.856542958,-0.014510376,-0.496720194
A106,-0.397696245,-0.577587252,-0.895004867,-0.616383521,0.902863511,-0.222320518,1.324269817,1.027573812,-0.071767908,-0.39393556,-0.405929372,0.407854933,0.017716932,-0.404732688
A107,-0.007672596,-0.545261338,-0.867969037,-0.492813618,0.769190112,-0.104100268,0.651601318,3.246093617,-0.171594837,-2.156631125,0.67031652,2.454384015,0.767618253,2.18347044
A108,-0.007672596,-0.561424295,-1.101946614,-0.489561778,0.841168096,-0.227950054,1.866420547,1.866186414,-0.266811665,-1.163161976,-0.34931922,1.121380787,0.648154322,1.644216273
A109,0.382351053,-0.545261338,-1.21206546,-0.411517629,0.728059835,-0.287998435,2.348332308,0.79186251,0.68317121,-1.943701013,1.366673833,1.969276596,-0.186371735,-0.280886014
A110,1.552421999,-1.304920329,-0.544893083,3.461423272,1.036536909,0.174561752,0.480924236,-1.061131093,-0.05909648,-0.118984269,0.024408035,-0.345904827,-0.185281942,-0.101392901
A111,1.942445648,-1.531201731,-0.54054249,3.461423272,1.036536909,0.288090723,0.561242863,-0.690320407,-0.19598451,-0.129887482,2.166972506,-1.912304633,-0.698518505,0.652248746
A112,2.722492946,-1.143290757,-0.882663388,3.155750354,0.985124064,0.026317311,1.36442913,-1.318251719,-0.223654322,-0.051757664,-0.389142838,-0.238055071,-0.155149939,-0.077102974
A113,2.722492946,-0.949335269,-0.768415918,4.033747032,0.964558925,-0.211061447,1.494946899,-0.866191241,0.337331888,-0.706445918,0.344074866,0.46135739,-0.230577405,-0.068240755
A114,0.382351053,-0.496772466,-0.736718737,-0.200148059,0.820602958,-0.284245412,1.595345182,-0.557844908,0.065292638,-0.849577793,1.811732729,-0.062500981,-0.348834894,-0.016730768
A115,-0.007672596,-0.739216825,-0.844196152,-0.19364438,1.087949755,-0.195111096,2.227854368,-0.970630483,0.015526691,-0.557322272,0.466927563,0.471574926,-0.077612012,-0.140487124
A116,-0.007672596,-0.690727953,-0.832498383,-0.105844712,1.118797462,-0.204493655,1.876460376,-1.225000265,0.176522112,-0.080407768,-0.639507526,-0.178113131,-0.159796757,0.076946757
A117,-0.007672596,-0.658402039,-0.883129523,0.472982728,1.067384617,-0.216690983,2.077256943,-0.752746664,0.167543388,-0.36945333,0.412952062,0.089269586,-0.044510025,-0.406859893
A118,-0.007672596,-0.690727953,-0.855805133,0.261613157,1.118797462,-0.211999703,1.143552907,-0.904850645,0.66880102,-0.899758695,0.620191462,0.612054993,-0.285515241,0.157756094
A119,-0.397696245,-0.674564996,-1.074799799,-0.606628002,0.728059835,-0.273924596,1.233911362,-1.198174486,0.381890274,-0.712874794,0.133542527,0.696100731,-0.141256926,0.029492938
A120,-0.007672596,-0.545261338,-1.017975722,-0.437532346,0.800037819,-0.120988875,1.374468959,0.172741765,0.343927948,-1.178957663,3.94353199,-0.329036735,-0.411925222,0.067539464
A121,-0.007672596,-0.496772466,-0.993159582,-0.375747394,0.78975525,-0.158519113,1.766022264,-0.696168767,0.10851744,-0.324039279,0.459639983,-0.046865056,-0.043165355,-0.507513736
A122,-0.007672596,-0.464446552,-0.994202836,-0.642398237,0.748624974,-0.244838661,1.876460376,-1.177170528,-0.323005192,-0.007237551,-0.370015955,-0.331213141,-0.158271315,-0.023307488
